state_acronym,scf_name,_TYPE_,_FREQ_,meanpop,scf_id,state_name,pop,scf_lat,scf_long,scf_elev,scf_persons_per_house,scf_income_per_house,N_zip3,FIPS,state_pop2000,state_lat,state_long,NCHS_id,city_id
AK,Anchorage,3,1,427021.7762,13,Alaska,435674,60.13664934,-155.5951019,445.1142568,3.330004941,39099.10594,2,2,626932,61.288254,-148.716968,2,12
OK,Ardmore,3,1,87249.89113,15,Oklahoma,86136,34.23436543,-97.17002614,859.9428571,2.603428571,27840.59375,1,40,3450654,35.59794,-96.834653,37,13
NC,Asheville,3,1,639568.4476,16,North Carolina,612446,35.44721223,-82.73535124,2090.918247,2.495982485,33626.8421,3,37,8049313,35.553334,-79.667654,34,14
KY,Ashland,3,1,181454.5786,17,Kentucky,184599,38.23978566,-82.88457171,807.1384698,2.774827586,24096.57692,2,21,4041769,37.808159,-85.241819,18,15
GA,Athens,3,1,351243.7077,18,Georgia,318921,33.88337102,-83.26591783,705.2307692,2.745769231,36194.83721,1,13,8186453,33.332208,-83.868887,11,16
GA,Atlanta,3,1,4923825.456,20,Georgia,4312067,33.78690139,-84.4165723,946.1337825,2.688692671,48395.63034,5,13,8186453,33.332208,-83.868887,11,17
GA,Augusta,3,2,574369.1976,21,Georgia,556615,33.44998047,-82.02839068,340.9990043,2.834293507,33527.13299,3,13,8186453,33.332208,-83.868887,11,18
TX,Austin,3,1,1601536.446,22,Texas,1375787,30.2711125,-97.77226042,619.1837657,2.566934774,45631.35724,4,48,20851820,30.943149,-97.388631,44,19
CA,Bakersfield,3,1,1172995.504,23,California,1045359,35.70488876,-119.1456262,829.9450758,3.059791667,35075.06803,2,6,33871648,35.458606,-119.355165,5,20
MD,Baltimore,3,1,1294151.413,24,Maryland,1292695,39.33083009,-76.57086543,166.7879719,2.758880597,43009.43056,2,24,5296486,39.145653,-76.797396,21,21
AR,Batesville,3,1,103271.3427,26,Arkansas,100745,35.99451893,-91.79425575,623.0169492,2.488305085,27802,1,5,2673400,35.080251,-92.576816,4,22
LA,Baton Rouge,3,1,717311.1069,27,Louisiana,681369,30.47415138,-91.1431325,49.99982232,2.951119403,35802.28122,2,22,4468976,30.69927,-91.457133,19,23
TX,Beaumont,3,1,404747.6069,28,Texas,411437,30.09322077,-94.12482987,30.40873016,2.682083333,35442.44181,2,48,20851820,30.943149,-97.388631,44,24
WV,Beckley,3,1,124767.5565,29,West Virginia,134424,37.78561739,-81.16157573,2150.140426,2.639242021,25169.89304,2,54,1808344,38.767195,-80.820221,49,25
OR,Bend,3,1,194644.6512,31,Oregon,164774,43.86164428,-120.5593293,3894.34375,2.601875,34597.06667,1,41,3421399,44.732273,-122.579524,38,26
AL,Birmingham,3,1,1615406.556,34,Alabama,1610509,33.69576367,-86.69361435,678.7622674,2.643715419,34228.70409,5,1,4447100,33.001471,-86.766233,1,27
IL,Bloomington,3,1,223975.0464,36,Illinois,215373,40.50022815,-88.92675065,744.6,2.7315,48469.23077,1,17,12419293,41.278216,-88.380238,14,28
IN,Bloomington,3,1,250994.9899,37,Indiana,244512,39.04780327,-86.67255669,671.8333333,2.665208333,35226.69444,1,18,6080485,40.163935,-86.261515,15,29
WV,Bluefield,3,2,159917.57258,38,West Virginia,183326,37.33815041,-81.560467,1941.815524,2.686018076,22259.30831,3,54,1808344,38.767195,-80.820221,49,30
ID,Boise,3,1,610871.0081,39,Idaho,561094,43.76364626,-116.3368781,3004.145115,2.702945402,36970.52191,3,16,1293953,44.242605,-115.133222,13,31
MA,Boston,3,1,1247330.875,40,Massachusetts,1270069,42.33405054,-71.06761883,33.72507331,2.564486804,52209.60577,2,25,6349097,42.271831,-71.363628,22,32
KY,Bowling Green,3,1,349620.4335,41,Kentucky,332653,36.91374539,-86.4674461,639.8402948,2.707113022,30964.63865,2,21,4041769,37.808159,-85.241819,18,33
VA,Bristol,3,1,193952.5847,44,Virginia,189521,36.83487472,-82.45756702,1879.938776,2.6426,25430,1,51,7078515,37.750345,-77.835857,47,34
MA,Brockton,3,1,786195.7298,45,Massachusetts,809293,42.07691961,-70.97032231,118.9051282,2.838017094,67536.74,2,25,6349097,42.271831,-71.363628,22,35
NY,Bronx,3,1,1373130.998,46,New York,1327690,40.84802612,-73.87549804,49.19230769,2.84,29851.44,1,36,18976457,41.507548,-74.645228,33,36
NY,Brooklyn,3,1,2501256.391,47,New York,2465326,40.6605111,-73.96466917,46.20833333,2.78,33020.91892,1,36,18976457,41.507548,-74.645228,33,37
TX,Bryan,3,1,262087.002,48,Texas,248736,30.66577613,-96.33998045,350.6808511,2.787659575,33572.30303,1,48,20851820,30.943149,-97.388631,44,38
NY,Buffalo,3,1,1228971.754,49,New York,1311726,42.86890619,-78.75555385,762.8816476,2.644579737,36962.60744,4,36,18976457,41.507548,-74.645228,33,39
VT,Burlington,3,1,299951.498,50,Vermont,303456,44.53584161,-72.92567328,738.5383721,2.698108527,43722.59957,2,50,608827,44.081127,-72.814309,46,40
AR,Camden,3,1,114112.5222,52,Arkansas,115873,33.50394488,-92.80860435,232.5882353,2.648823529,27758.44,1,5,2673400,35.080251,-92.576816,4,41
OH,Canton,3,1,643856.6149,54,Ohio,640062,40.71556057,-81.44385226,1084.110256,2.724358974,36739.97637,2,39,11353140,40.480854,-82.749366,36,42
